Run,Home,Away,Spread,Home Win %,Away Win %,Home Cover %,Away Cover %
RUN_1_R2_Blend65,Purdue,Texas,-7.5,79.8,20.2,56.7,43.3
RUN_2_ATSCal_Blend35,Purdue,Texas,-7.5,74.3,25.7,51.5,48.5
RUN_3_ATSTail_Blend35,Purdue,Texas,-7.5,69.7,30.3,50.8,49.2
RUN_1_R2_Blend65,Arizona,Arkansas,-8.0,74.8,25.2,48.5,51.5
RUN_2_ATSCal_Blend35,Arizona,Arkansas,-8.0,70.3,29.7,47.2,52.8
RUN_3_ATSTail_Blend35,Arizona,Arkansas,-8.0,66.5,33.5,47.9,52.1
RUN_1_R2_Blend65,Houston,Illinois,-2.0,51.2,48.8,44.3,55.7
RUN_2_ATSCal_Blend35,Houston,Illinois,-2.0,51.7,48.3,44.3,55.7
RUN_3_ATSTail_Blend35,Houston,Illinois,-2.0,51.3,48.7,45.3,54.7
RUN_1_R2_Blend65,Nebraska,Iowa,-1.5,55.1,44.9,49.9,50.1
RUN_2_ATSCal_Blend35,Nebraska,Iowa,-1.5,49.6,50.4,44.8,55.2
RUN_3_ATSTail_Blend35,Nebraska,Iowa,-1.5,50.1,49.9,46.0,54.0
RUN_1_R2_Blend65,Arizona,Utah St.,-12.0,85.5,14.5,50.6,49.4
RUN_2_ATSCal_Blend35,Arizona,Utah St.,-12.0,80.7,19.3,49.3,50.7
RUN_3_ATSTail_Blend35,Arizona,Utah St.,-12.0,75.4,24.6,49.3,50.7
RUN_1_R2_Blend65,Purdue,Miami FL,-7.5,78.7,21.3,55.9,44.1
RUN_2_ATSCal_Blend35,Purdue,Miami FL,-7.5,76.2,23.8,54.4,45.6
RUN_3_ATSTail_Blend35,Purdue,Miami FL,-7.5,72.0,28.0,53.4,46.6
RUN_1_R2_Blend65,Iowa St.,Kentucky,-5.5,71.7,28.3,53.6,46.4
RUN_2_ATSCal_Blend35,Iowa St.,Kentucky,-5.5,69.2,30.8,51.4,48.6
RUN_3_ATSTail_Blend35,Iowa St.,Kentucky,-5.5,65.7,34.3,50.9,49.1
RUN_1_R2_Blend65,Kansas,St. John's,3.5,38.7,61.3,50.7,49.3
RUN_2_ATSCal_Blend35,Kansas,St. John's,3.5,36.6,63.4,48.4,51.6
RUN_3_ATSTail_Blend35,Kansas,St. John's,3.5,38.4,61.6,48.7,51.3
RUN_1_R2_Blend65,Connecticut,UCLA,-4.5,65.1,34.9,49.4,50.6
RUN_2_ATSCal_Blend35,Connecticut,UCLA,-4.5,63.7,36.3,48.3,51.7
RUN_3_ATSTail_Blend35,Connecticut,UCLA,-4.5,61.4,38.6,48.6,51.4
RUN_1_R2_Blend65,Florida,Iowa,-10.5,80.2,19.8,47.8,52.2
RUN_2_ATSCal_Blend35,Florida,Iowa,-10.5,78.0,22.0,47.6,52.4
RUN_3_ATSTail_Blend35,Florida,Iowa,-10.5,72.7,27.3,48.3,51.7
RUN_1_R2_Blend65,Virginia,Tennessee,1.0,47.5,52.5,50.8,49.2
RUN_2_ATSCal_Blend35,Virginia,Tennessee,1.0,44.8,55.2,48.9,51.1
RUN_3_ATSTail_Blend35,Virginia,Tennessee,1.0,45.6,54.4,48.9,51.1
RUN_1_R2_Blend65,Alabama,Texas Tech,1.5,49.8,50.2,55.0,45.0
RUN_2_ATSCal_Blend35,Alabama,Texas Tech,1.5,49.8,50.2,55.4,44.6
RUN_3_ATSTail_Blend35,Alabama,Texas Tech,1.5,49.5,50.5,54.0,46.0
